articulo; palabra     ; silaba_tonica   ; campo_semantico          ; color_campo; color_fondo; ejemplo                       ; gramapop                                                                                                   ; combo1_estructura        ; combo1_ejemplo                ; combo2_estructura                                    ; combo2_ejemplo              ; combo3_estructura  ; combo3_ejemplo                      ; EN         ; FR          ; PT          ; AL            ; PL           ; NL          ; GR           ; TR         ; CZ
—       ; alemán      ; a-le-MÁN        ; Adjetivos de nacionalidad; #3D348B    ; #C4B5D4    ; Felix es alemán.              ; alemán | alemanes | alemana | alemanas | Masculino sin -o final · plural en -es · tilde solo en alemán     ; ser + [adj. nacionalidad]; Felix es alemán.              ; tener un/a + [tipo de relación] + [adj. nacionalidad]; Tengo un compañero alemán.  ; aprender + [idioma]; Aprendo alemán en clase.            ; German     ; allemand    ; alemão      ; deutsch       ; niemiecki    ; Duits       ; γερμανός     ; Alman      ; německý
—       ; argentino   ; ar-gen-TI-no    ; Adjetivos de nacionalidad; #3D348B    ; #C4B5D4    ; Leo Messi es argentino.       ; argentino | argentinos | argentina | argentinas                                                            ; ser + [adj. nacionalidad]; Leo Messi es argentino.       ; tener un/a + [tipo de relación] + [adj. nacionalidad]; Tengo un amigo argentino.   ; hablar + [idioma]  ; En Argentina hablan español.        ; Argentinian; argentin    ; argentino   ; argentinisch  ; argentyński  ; Argentijns  ; αργεντίνος   ; Arjantinli ; argentinský
—       ; boliviano   ; bo-li-VIA-no    ; Adjetivos de nacionalidad; #3D348B    ; #C4B5D4    ; Mi amigo es boliviano.        ; boliviano | bolivianos | boliviana | bolivianas                                                            ; ser + [adj. nacionalidad]; Mi amigo es boliviano.        ; tener un/a + [tipo de relación] + [adj. nacionalidad]; Tengo una vecina boliviana. ; hablar + [idioma]  ; Los bolivianos hablan español.      ; Bolivian   ; bolivien    ; boliviano   ; bolivianisch  ; boliwijski   ; Boliviaans  ; βολιβιανός   ; Bolivyalı  ; bolivijský
—       ; chileno     ; chi-LE-no       ; Adjetivos de nacionalidad; #3D348B    ; #C4B5D4    ; Pedro Pascal es chileno.      ; chileno | chilenos | chilena | chilenas                                                                    ; ser + [adj. nacionalidad]; Pedro Pascal es chileno.      ; tener un/a + [tipo de relación] + [adj. nacionalidad]; Tengo un primo chileno.     ; hablar + [idioma]  ; En Chile hablan español.            ; Chilean    ; chilien     ; chileno     ; chilenisch    ; chilijski    ; Chileens    ; χιλιανός     ; Şilili     ; chilský
—       ; chino       ; CHI-no          ; Adjetivos de nacionalidad; #3D348B    ; #C4B5D4    ; Mi compañera es china.        ; chino | chinos | china | chinas                                                                            ; ser + [adj. nacionalidad]; Mi compañera es china.        ; tener un/a + [tipo de relación] + [adj. nacionalidad]; Tengo una compañera china.  ; estudiar + [idioma]; Estudio chino en la universidad.    ; Chinese    ; chinois     ; chinês      ; chinesisch    ; chiński      ; Chinees     ; κινέζος      ; Çinli      ; čínský
—       ; colombiano  ; co-lom-BIA-no   ; Adjetivos de nacionalidad; #3D348B    ; #C4B5D4    ; Shakira es colombiana.        ; colombiano | colombianos | colombiana | colombianas                                                        ; ser + [adj. nacionalidad]; Shakira es colombiana.        ; tener un/a + [tipo de relación] + [adj. nacionalidad]; Tengo una amiga colombiana. ; hablar + [idioma]  ; Maluma habla español.               ; Colombian  ; colombien   ; colombiano  ; kolumbianisch ; kolumbijski  ; Colombiaans ; κολομβιανός  ; Kolombiyalı; kolumbijský
—       ; cubano      ; cu-BA-no        ; Adjetivos de nacionalidad; #3D348B    ; #C4B5D4    ; Mi tía es cubana.             ; cubano | cubanos | cubana | cubanas                                                                        ; ser + [adj. nacionalidad]; Mi tía es cubana.             ; tener un/a + [tipo de relación] + [adj. nacionalidad]; Tengo un profesor cubano.   ; hablar + [idioma]  ; Mis amigos cubanos hablan español.  ; Cuban      ; cubain      ; cubano      ; kubanisch     ; kubański     ; Cubaans     ; κουβανός     ; Kübalı     ; kubánský
—       ; ecuatoriano ; e-cua-to-RIA-no ; Adjetivos de nacionalidad; #3D348B    ; #C4B5D4    ; Mi vecino es ecuatoriano.     ; ecuatoriano | ecuatorianos | ecuatoriana | ecuatorianas                                                    ; ser + [adj. nacionalidad]; Mi vecino es ecuatoriano.     ; tener un/a + [tipo de relación] + [adj. nacionalidad]; Tengo un vecino ecuatoriano.; hablar + [idioma]  ; Los ecuatorianos hablan español.    ; Ecuadorian ; équatorien  ; equatoriano ; ecuadorianisch; ekwadorski   ; Ecuadoraans ; εκουαδοριανός; Ekvadorlu  ; ekvádorský
—       ; español     ; es-pa-ÑOL       ; Adjetivos de nacionalidad; #3D348B    ; #C4B5D4    ; Penélope Cruz es española.    ; español | españoles | española | españolas | Masculino sin -o final · plural masculino en -es              ; ser + [adj. nacionalidad]; Penélope Cruz es española.    ; tener un/a + [tipo de relación] + [adj. nacionalidad]; Tengo un amigo español.     ; estudiar + [idioma]; Estudio español en el instituto.    ; Spanish    ; espagnol    ; espanhol    ; spanisch      ; hiszpański   ; Spaans      ; ισπανός      ; İspanyol   ; španělský
—       ; francés     ; fran-CÉS        ; Adjetivos de nacionalidad; #3D348B    ; #C4B5D4    ; Marie es francesa.            ; francés | franceses | francesa | francesas | Masculino sin -o final · plural en -es · tilde solo en francés; ser + [adj. nacionalidad]; Marie es francesa.            ; tener un/a + [tipo de relación] + [adj. nacionalidad]; Tengo una amiga francesa.   ; aprender + [idioma]; Aprendo francés con mi profesora.   ; French     ; français    ; francês     ; französisch   ; francuski    ; Frans       ; γάλλος       ; Fransız    ; francouzský
—       ; griego      ; GRIE-go         ; Adjetivos de nacionalidad; #3D348B    ; #C4B5D4    ; Mi profesor es griego.        ; griego | griegos | griega | griegas                                                                        ; ser + [adj. nacionalidad]; Mi profesor es griego.        ; tener un/a + [tipo de relación] + [adj. nacionalidad]; Tengo un profesor griego.   ; estudiar + [idioma]; Estudio griego antiguo.             ; Greek      ; grec        ; grego       ; griechisch    ; grecki       ; Grieks      ; έλληνας      ; Yunan      ; řecký
