articulo; palabra  ; silaba_tonica; campo_semantico        ; color_campo; color_fondo; ejemplo                             ; gramapop                                                ; combo1_estructura; combo1_ejemplo                   ; combo2_estructura                                         ; combo2_ejemplo                      ; combo3_estructura                                         ; combo3_ejemplo                ; EN          ; FR              ; PT              ; AL          ; PL         ; NL        ; GR           ; TR           ; CZ
—       ; alto     ; AL-to        ; CARACTERÍSTICAS FÍSICAS; #384A11    ; #C4B5D4    ; Ana es alta.                        ; alto | altos | alta | altas                             ; ser + [adj]      ; Ana es alta.                     ; gustar + (a alguien) + el/la/los/las + [persona/N] + [adj]; Me gustan los chicos altos.         ; tener + un/una + [persona/parentesco] + [adj]             ; Tengo un primo alto.          ; TALL        ; GRAND           ; ALTO            ; GROSS       ; WYSOKI     ; LANG      ; ΨΗΛΌΣ        ; UZUN BOYLU   ; VYSOKÝ
—       ; bajo     ; BA-jo        ; CARACTERÍSTICAS FÍSICAS; #384A11    ; #C4B5D4    ; Andrés es bajo.                     ; bajo | bajos | baja | bajas                             ; ser + [adj]      ; Andrés es bajo.                  ; gustar + (a alguien) + el/la/los/las + [persona/N] + [adj]; Me gusta la gente baja.             ; tener + un/una + [persona/parentesco] + [adj]             ; Tiene un amigo bajo.          ; SHORT       ; PETIT           ; BAIXO           ; KLEIN       ; NISKI      ; KORT      ; ΚΟΝΤΌΣ       ; KISA BOYLU   ; MALÝ
—       ; delgado  ; del-GA-do    ; CARACTERÍSTICAS FÍSICAS; #384A11    ; #C4B5D4    ; El surfista es delgado.             ; delgado | delgados | delgada | delgadas                 ; ser + [adj]      ; El surfista es delgado.          ; gustar + (a alguien) + el/la/los/las + [persona/N] + [adj]; Me gusta la gente delgada.          ; tener + un/una + [persona/parentesco] + [adj]             ; Tengo una prima delgada.      ; THIN        ; MINCE           ; MAGRO           ; DÜNN        ; SZCZUPŁY   ; SLANK     ; ΛΕΠΤΌΣ       ; İNCE         ; HUBENÝ
—       ; gordo    ; GOR-do       ; CARACTERÍSTICAS FÍSICAS; #384A11    ; #C4B5D4    ; El abuelo de Ana es gordo.          ; gordo | gordos | gorda | gordas                         ; ser + [adj]      ; El abuelo de Ana es gordo.       ; gustar + (a alguien) + el/la/los/las + [persona/N] + [adj]; Me gustan los gatos gordos.         ; tener + un/una + [persona/parentesco] + [adj]             ; Tengo un tío gordo.           ; FAT         ; GROS            ; GORDO           ; DICK        ; GRUBY      ; DIK       ; ΧΟΝΤΡΌΣ      ; ŞİŞMAN       ; TLUSTÝ
—       ; fuerte   ; FUER-te      ; CARACTERÍSTICAS FÍSICAS; #384A11    ; #B8C8D8    ; El surfista es fuerte.              ; fuerte | fuertes | Misma forma para masculino y femenino; ser + [adj]      ; El surfista es fuerte.           ; gustar + (a alguien) + el/la/los/las + [persona/N] + [adj]; Me gustan los chicos fuertes.       ; tener + un/una + [persona/parentesco] + [adj]             ; Tengo un hermano fuerte.      ; STRONG      ; FORT            ; FORTE           ; STARK       ; SILNY      ; STERK     ; ΔΥΝΑΤΌΣ      ; GÜÇLÜ        ; SILNÝ
—       ; joven    ; JO-ven       ; CARACTERÍSTICAS FÍSICAS; #384A11    ; #B8C8D8    ; Mi madre es joven.                  ; joven | jóvenes | Misma forma para masculino y femenino ; ser + [adj]      ; Mi madre es joven.               ; gustar + (a alguien) + el/la/los/las + [persona/N] + [adj]; Me gustan los actores jóvenes.      ; tener + un/una + [persona/parentesco] + [adj]             ; Tiene un hermano joven.       ; YOUNG       ; JEUNE           ; JOVEM           ; JUNG        ; MŁODY      ; JONG      ; ΝΈΟΣ         ; GENÇ         ; MLADÝ
—       ; mayor    ; ma-YOR       ; CARACTERÍSTICAS FÍSICAS; #384A11    ; #B8C8D8    ; Mi abuelo es mayor.                 ; mayor | mayores | Misma forma para masculino y femenino ; ser + [adj]      ; Mi abuelo es mayor.              ; gustar + (a alguien) + el/la/los/las + [persona/N] + [adj]; Me gusta la gente mayor.            ; tener + un/una + [persona/parentesco] + [adj]             ; Tengo una hermana mayor.      ; OLDER       ; PLUS ÂGÉ        ; MAIS VELHO      ; ÄLTER       ; STARSZY    ; OUDER     ; ΜΕΓΑΛΎΤΕΡΟΣ  ; BÜYÜK        ; STARŠÍ
—       ; guapo    ; GUA-po       ; CARACTERÍSTICAS FÍSICAS; #384A11    ; #C4B5D4    ; Andrés es guapo.                    ; guapo | guapos | guapa | guapas                         ; ser + [adj]      ; Andrés es guapo.                 ; gustar + (a alguien) + el/la/los/las + [persona/N] + [adj]; Me gustan los chicos guapos.        ; tener + un/una + [persona/parentesco] + [adj]             ; Tengo una amiga guapa.        ; HANDSOME    ; BEAU            ; BONITO          ; HÜBSCH      ; PRZYSTOJNY ; KNAP      ; ΌΜΟΡΦΟΣ      ; YAKIŞIKLI    ; HEZKÝ
—       ; feo      ; FE-o         ; CARACTERÍSTICAS FÍSICAS; #384A11    ; #C4B5D4    ; El monstruo es feo.                 ; feo | feos | fea | feas                                 ; ser + [adj]      ; El monstruo es feo.              ; gustar + (a alguien) + el/la/los/las + [persona/N] + [adj]; No me gustan los gatos feos.        ; tener + un/una + [persona/parentesco] + [adj]             ; Tiene un perro feo.           ; UGLY        ; LAID            ; FEIO            ; HÄSSLICH    ; BRZYDKI    ; LELIJK    ; ΆΣΧΗΜΟΣ      ; ÇİRKİN       ; OŠKLIVÝ
—       ; moreno   ; mo-RE-no     ; CARACTERÍSTICAS FÍSICAS; #384A11    ; #C4B5D4    ; Ana es morena.                      ; moreno | morenos | morena | morenas                     ; ser + [adj]      ; Ana es morena.                   ; tener + el/la/los/las + [parte] + [adj]                   ; Tiene el pelo moreno.               ; tener + un/una + [persona/parentesco] + [adj]             ; Tengo una amiga morena.       ; DARK-HAIRED ; BRUN            ; MORENO          ; DUNKELHAARIG; CIEMNOWŁOSY; DONKER    ; ΜΕΛΑΧΡΙΝΌΣ   ; ESMER        ; TMAVOVLASÝ
