articulo;palabra;silaba_tonica;campo_semantico;color_campo;color_fondo;ejemplo;gramapop;combo1_estructura;combo1_ejemplo;combo2_estructura;combo2_ejemplo;combo3_estructura;combo3_ejemplo;EN;FR;PT;AL;PL;NL;GR;TR;CZ
-;ANTIGUO;an-TI-guo;ADJETIVOS DESCRIPTIVOS;#5E2B5E;#C4B5D4;La casa es antigua.;antiguo | antiguos | antigua | antiguas;el/la + [objeto] + es + [adjetivo];La casa es antigua.;tener + un/una + [objeto] + [adjetivo];Tengo un cuadro antiguo.;mi/tu/su + [objeto] + es + [adjetivo];Mi armario es antiguo.;OLD;ANCIEN;ANTIGO;ALT;STARY;OUD;ΠΑΛΙΟΣ;ESKİ;STARÝ
-;BONITO;bo-NI-to;ADJETIVOS DESCRIPTIVOS;#5E2B5E;#C4B5D4;¡Qué casa tan bonita!;bonito | bonitos | bonita | bonitas;¡qué + [objeto] + tan + [adjetivo]!;¡Qué casa tan bonita!;el/la + [objeto] + es + [adjetivo];El parque es bonito.;tener + un/una + [objeto] + [adjetivo];Tengo un cuadro bonito.;PRETTY;JOLI;BONITO;HÜBSCH;ŁADNY;MOOI;ΟΜΟΡΦΟΣ;GÜZEL;HEZKÝ
-;CÓMODO;CÓ-mo-do;ADJETIVOS DESCRIPTIVOS;#5E2B5E;#C4B5D4;Mi sofá es cómodo.;cómodo | cómodos | cómoda | cómodas;mi/tu/su + [objeto] + es + [adjetivo];Mi sofá es cómodo.;¡qué + [objeto] + tan + [adjetivo]!;¡Qué sillón tan cómodo!;el/la + [objeto] + es + [adjetivo];La cama es cómoda.;COMFORTABLE;CONFORTABLE;CONFORTÁVEL;BEQUEM;WYGODNY;COMFORTABEL;ΑΝΕΤΟΣ;RAHAT;POHODLNÝ
-;INCÓMODO;in-CÓ-mo-do;ADJETIVOS DESCRIPTIVOS;#5E2B5E;#C4B5D4;La silla es incómoda.;incómodo | incómodos | incómoda | incómodas;el/la + [objeto] + es + [adjetivo];La silla es incómoda.;tener + un/una + [objeto] + [adjetivo];Tengo una cama incómoda.;¡qué + [objeto] + tan + [adjetivo]!;¡Qué sillón tan incómodo!;UNCOMFORTABLE;INCONFORTABLE;DESCONFORTÁVEL;UNBEQUEM;NIEWYGODNY;ONCOMFORTABEL;ΑΒΟΛΟΣ;RAHATSIZ;NEPOHODLNÝ
-;FEO;FE-o;ADJETIVOS DESCRIPTIVOS;#5E2B5E;#C4B5D4;Mi póster es feo.;feo | feos | fea | feas;¡qué + [objeto] + tan + [adjetivo]!;¡Qué cuadro tan feo!;mi/tu/su + [objeto] + es + [adjetivo];Mi póster es feo.;tener + un/una + [objeto] + [adjetivo];Tengo un sofá feo.;UGLY;LAID;FEIO;HÄSSLICH;BRZYDKI;LELIJK;ΑΣΧΗΜΟΣ;ÇİRKİN;OŠKLIVÝ
-;MODERNO;mo-DER-no;ADJETIVOS DESCRIPTIVOS;#5E2B5E;#C4B5D4;La lámpara es moderna.;moderno | modernos | moderna | modernas;tener + un/una + [objeto] + [adjetivo];Tengo una lámpara moderna.;¡qué + [objeto] + tan + [adjetivo]!;¡Qué cocina tan moderna!;el/la + [objeto] + es + [adjetivo];La lámpara es moderna.;MODERN;MODERNE;MODERNO;MODERN;NOWOCZESNY;MODERN;ΜΟΝΤΕΡΝΟΣ;MODERN;MODERNÍ
-;NUEVO;NUE-vo;ADJETIVOS DESCRIPTIVOS;#5E2B5E;#C4B5D4;Mi ordenador es nuevo.;nuevo | nuevos | nueva | nuevas;mi/tu/su + [objeto] + es + [adjetivo];Mi ordenador es nuevo.;el/la + [objeto] + es + [adjetivo];El sofá es nuevo.;¡qué + [objeto] + tan + [adjetivo]!;¡Qué casa tan nueva!;NEW;NOUVEAU;NOVO;NEU;NOWY;NIEUW;ΚΑΙΝΟΥΡΙΟΣ;YENİ;NOVÝ
-;VIEJO;VIE-jo;ADJETIVOS DESCRIPTIVOS;#5E2B5E;#C4B5D4;El armario es viejo.;viejo | viejos | vieja | viejas;¡qué + [objeto] + tan + [adjetivo]!;¡Qué armario tan viejo!;tener + un/una + [objeto] + [adjetivo];Tengo una bicicleta vieja.;el/la + [objeto] + es + [adjetivo];El cuadro es viejo.;OLD;VIEUX;VELHO;ALT;STARY;OUD;ΓΕΡΟΣ;YAŞLI;STARÝ
-;ALTO;AL-to;ADJETIVOS DESCRIPTIVOS;#5E2B5E;#C4B5D4;El edificio es alto.;alto | altos | alta | altas;el/la + [objeto] + es + [adjetivo];El edificio es alto.;mi/tu/su + [objeto] + es + [adjetivo];Mi hermano es alto.;tener + un/una + [objeto] + [adjetivo];Tengo una estantería alta.;TALL;GRAND;ALTO;GROSS;WYSOKI;LANG;ΨΗΛΟΣ;UZUN;VYSOKÝ
-;GRANDE;GRAN-de;ADJETIVOS DESCRIPTIVOS;#5E2B5E;#B8C8D8;El sofá es grande.;grande | grandes | Género común;tener + un/una + [objeto] + [adjetivo];Tengo un dormitorio grande.;¡qué + [objeto] + tan + [adjetivo]!;¡Qué casa tan grande!;mi/tu/su + [objeto] + es + [adjetivo];Mi familia es grande.;BIG;GRAND;GRANDE;GROSS;DUŻY;GROOT;ΜΕΓΑΛΟΣ;BÜYÜK;VELKÝ
