articulo, palabra, silaba_tonica, campo_semantico, color_campo, color_fondo, ejemplo                           , gramapop                                                                                                                                                 , combo1_estructura                    , combo1_ejemplo         , combo2_estructura                    , combo2_ejemplo         , combo3_estructura                    , combo3_ejemplo            , EN       , FR            , PT      , AL       , PL        , NL         , GR       , TR      , CZ
el      , PAN    , PAN          , ALIMENTOS      , #2E7D32    , #95CDEA    , Como pan con queso.               , el/un pan | los/unos panes | Masculino · uso habitual en singular · monosílabo tónico | ¿Cómo se pide? Un pan · una barra de pan.                        , comer + [alimento]                   , Como pan.              , hay + [alimento] + en + [lugar]      , Hay pan en la mesa.    , comer + [alimento] + con + [alimento], Como pan con queso.       , BREAD    , PAIN          , PÃO     , BROT     , CHLEB     , BROOD      , ΨΩΜΙ     , EKMEK   , CHLÉB
el      , QUESO  , QUE-so       , ALIMENTOS      , #2E7D32    , #95CDEA    , Me gusta el queso manchego.       , el/un queso | los/unos quesos | Masculino · uso habitual en singular | ¿Cómo se pide? Un trozo de queso · una loncha de queso.                           , me gusta + el/la + [alimento]        , Me gusta el queso.     , comprar + [alimento]                 , Compro queso.          , comer + [alimento] + con + [alimento], Como pan con queso.       , CHEESE   , FROMAGE       , QUEIJO  , KÄSE     , SER       , KAAS       , ΤΥΡΙ     , PEYNİR  , SÝR
el      , JAMÓN  , ja-MÓN       , ALIMENTOS      , #2E7D32    , #95CDEA    , Tomo jamón en el desayuno.        , el/un jamón | los/unos jamones | Masculino · uso habitual en singular | ¿Cómo se pide? Una loncha de jamón · un trozo de jamón.                          , comer + [alimento] + con + [alimento], Como pan con jamón.    , tomar + [alimento]                   , Tomo jamón.            , desayunar/comer/cenar + [alimento]   , Desayuno jamón.           , HAM      , JAMBON        , PRESUNTO, SCHINKEN , SZYNKA    , HAM        , ΖΑΜΠΟΝ   , JAMBON  , ŠUNKA
el      , HUEVO  , HUE-vo       , ALIMENTOS      , #2E7D32    , #95CDEA    , Como un huevo en el desayuno.     , el/un huevo | los/unos huevos | Masculino | ¿Cómo se pide? Un huevo · seis huevos · una docena de huevos.                                                , comer + [alimento]                   , Como un huevo.         , querer + un/una + [alimento]         , Quiero dos huevos.     , desayunar/comer/cenar + [alimento]   , Desayuno huevos.          , EGG      , ŒUF           , OVO     , EI       , JAJKO     , EI         , ΑΥΓΟ     , YUMURTA , VEJCE
el      , POLLO  , PO-llo       , ALIMENTOS      , #2E7D32    , #95CDEA    , Quiero pollo con patatas.         , el/un pollo | los/unos pollos | Masculino · uso habitual en singular | ¿Cómo se pide? Un trozo de pollo · una ración de pollo.                           , comer + [alimento]                   , Como pollo.            , comer + [alimento] + con + [alimento], Como pollo con patatas., querer + un/una + [alimento]         , Quiero pollo.             , CHICKEN  , POULET        , FRANGO  , HÄHNCHEN , KURCZAK   , KIP        , ΚΟΤΟΠΟΥΛΟ, TAVUK   , KUŘE
el      , PESCADO, pes-CA-do    , ALIMENTOS      , #2E7D32    , #95CDEA    , Hay pescado en el menú.           , el/un pescado | los/unos pescados | Masculino · uso habitual en singular | ¿Cómo se pide? Un trozo de pescado · una ración de pescado.                   , me gusta + el/la + [alimento]        , Me gusta el pescado.   , desayunar/comer/cenar + [alimento]   , Ceno pescado.          , hay + [alimento] + en + [lugar]      , Hay pescado en el menú.   , FISH     , POISSON       , PEIXE   , FISCH    , RYBA      , VIS        , ΨΑΡΙ     , BALIK   , RYBA
la      , CARNE  , CAR-ne       , ALIMENTOS      , #2E7D32    , #EAA095    , Como carne los domingos.          , la/una carne | las/unas carnes | Femenino · uso habitual en singular | ¿Cómo se pide? Un trozo de carne · una ración de carne.                           , comer + [alimento]                   , Como carne.            , comer + [alimento] + con + [alimento], Como carne con verdura., comprar + [alimento]                 , Compro carne.             , MEAT     , VIANDE        , CARNE   , FLEISCH  , MIĘSO     , VLEES      , ΚΡΕΑΣ    , ET      , MASO
la      , FRUTA  , FRU-ta       , ALIMENTOS      , #2E7D32    , #EAA095    , Tomo fruta por la mañana.         , la/una fruta | las/unas frutas | Femenino · uso habitual en singular | ¿Cómo se pide? Una pieza de fruta · un kilo de fruta.                             , tomar + [alimento]                   , Tomo fruta.            , me gusta + el/la + [alimento]        , Me gusta la fruta.     , comprar + [alimento]                 , Compro fruta.             , FRUIT    , FRUIT         , FRUTA   , OBST     , OWOC      , FRUIT      , ΦΡΟΥΤΟ   , MEYVE   , OVOCE
la      , MANZANA, man-ZA-na    , ALIMENTOS      , #2E7D32    , #EAA095    , Quiero una manzana roja.          , la/una manzana | las/unas manzanas | Femenino | ¿Cómo se pide? Una manzana · dos manzanas · un kilo de manzanas.                                         , comer + [alimento]                   , Como una manzana.      , querer + un/una + [alimento]         , Quiero una manzana.    , hay + [alimento] + en + [lugar]      , Hay manzanas en la cocina., APPLE    , POMME         , MAÇÃ    , APFEL    , JABŁKO    , APPEL      , ΜΗΛΟ     , ELMA    , JABLKO
el      , PLÁTANO, PLÁ-ta-no    , ALIMENTOS      , #2E7D32    , #95CDEA    , Desayuno un plátano cada día.     , el/un plátano | los/unos plátanos | Masculino | ¿Cómo se pide? Un plátano · tres plátanos · un kilo de plátanos.                                         , comer + [alimento]                   , Como un plátano.       , tomar + [alimento]                   , Tomo un plátano.       , desayunar/comer/cenar + [alimento]   , Desayuno un plátano.      , BANANA   , BANANE        , BANANA  , BANANE   , BANAN     , BANAAN     , ΜΠΑΝΑΝΑ  , MUZ     , BANÁN
la      , NARANJA, na-RAN-ja    , ALIMENTOS      , #2E7D32    , #EAA095    , Quiero una naranja.               , la/una naranja | las/unas naranjas | Femenino | ¿Cómo se pide? Una naranja · tres naranjas · un kilo de naranjas.                                        , querer + un/una + [alimento]         , Quiero una naranja.    , comprar + [alimento]                 , Compro naranjas.       , hay + [alimento] + en + [lugar]      , Hay naranjas en la mesa.  , ORANGE   , ORANGE        , LARANJA , ORANGE   , POMARAŃCZA, SINAASAPPEL, ΠΟΡΤΟΚΑΛΙ, PORTAKAL, POMERANČ
el      , TOMATE , to-MA-te     , ALIMENTOS      , #2E7D32    , #95CDEA    , Como pan con tomate por la mañana., el/un tomate | los/unos tomates | Masculino | ¿Cómo se pide? Un tomate · tres tomates · un kilo de tomates.                                              , comer + [alimento] + con + [alimento], Como pan con tomate.   , comprar + [alimento]                 , Compro tomates.        , hay + [alimento] + en + [lugar]      , Hay tomate en la nevera.  , TOMATO   , TOMATE        , TOMATE  , TOMATE   , POMIDOR   , TOMAAT     , ΝΤΟΜΑΤΑ  , DOMATES , RAJČE
