articulo, palabra    , silaba_tonica , campo_semantico   , color_campo, color_fondo, ejemplo                                    , gramapop                                                                                                                                   , combo1_estructura                           , combo1_ejemplo                   , combo2_estructura                           , combo2_ejemplo                       , combo3_estructura              , combo3_ejemplo                  , EN       , FR       , PT        , AL       , PL       , NL       , GR         , TR       , CZ
la      , PAELLA     , pa-E-lla      , COMIDAS PREPARADAS, #5A3825    , #EAA095    , Mi familia come paella los domingos.       , la/una paella | las/unas paellas | Femenino | ¿Cómo se pide? Una paella · paella para dos.                                                 , ser + un/una + [comida] + [adj nacionalidad], La paella es una comida española., hacer + [comida]                            , Mi madre hace paella.                , me gusta + el/la + [comida]    , Me gusta la paella.             , PAELLA   , PAELLA   , PAELLA    , PAELLA   , PAELLA   , PAELLA   , ΠΑΕΓΙΑ     , PAELLA   , PAELLA
el      , TACO       , TA-co         , COMIDAS PREPARADAS, #5A3825    , #95CDEA    , Como un taco de pollo.                     , el/un taco | los/unos tacos | Masculino | ¿Cómo se pide? Un taco · tres tacos.                                                             , comer + [comida]                            , Como tacos.                      , ser + un/una + [comida] + [adj nacionalidad], El taco es una comida mexicana.      , querer + un/una + [comida]     , Quiero un taco.                 , TACO     , TACO     , TACO      , TACO     , TACO     , TACO     , ΤΑΚΟ       , TACO     , TACO
el      , BURRITO    , bu-RRI-to     , COMIDAS PREPARADAS, #5A3825    , #95CDEA    , Tomo un burrito en el restaurante mexicano., el/un burrito | los/unos burritos | Masculino | ¿Cómo se pide? Un burrito · dos burritos.                                                  , tomar + un/una + [comida]                   , Tomo un burrito.                 , ser + un/una + [comida] + [adj nacionalidad], El burrito es una comida mexicana.   , me gusta + el/la + [comida]    , Me gusta el burrito.            , BURRITO  , BURRITO  , BURRITO   , BURRITO  , BURRITO  , BURRITO  , ΜΠΟΥΡΙΤΟ   , BURRITO  , BURRITO
la      , TORTILLA   , tor-TI-lla    , COMIDAS PREPARADAS, #5A3825    , #EAA095    , Hay una tortilla en la mesa.               , la/una tortilla | las/unas tortillas | Femenino | ¿Cómo se pide? Una tortilla · tres tortillas. | En México: de maíz · En España: de huevo., hay + [comida] + en + [lugar]               , Hay tortilla en la mesa.         , ser + un/una + [comida] + [adj nacionalidad], La tortilla es una comida mexicana.  , comer + [comida]               , Como tortilla.                  , TORTILLA , TORTILLA , TORTILHA  , TORTILLA , TORTILLA , TORTILLA , ΤΟΡΤΙΓΙΑ   , TORTILLA , TORTILLA
el      , TAMAL      , ta-MAL        , COMIDAS PREPARADAS, #5A3825    , #95CDEA    , Mi abuela hace un tamal en Navidad.        , el/un tamal | los/unos tamales | Masculino | ¿Cómo se pide? Un tamal · tres tamales.                                                       , hacer + [comida]                            , Mi abuela hace tamales.          , ser + un/una + [comida] + [adj nacionalidad], El tamal es una comida mexicana.     , querer + un/una + [comida]     , Quiero un tamal.                , TAMALE   , TAMAL    , TAMAL     , TAMALE   , TAMAL    , TAMALE   , ΤΑΜΑΛΕ     , TAMALE   , TAMAL
la      , AREPA      , a-RE-pa       , COMIDAS PREPARADAS, #5A3825    , #EAA095    , Tomo una arepa en el desayuno.             , la/una arepa | las/unas arepas | Femenino | ¿Cómo se pide? Una arepa · dos arepas.                                                         , tomar + un/una + [comida]                   , Tomo una arepa.                  , ser + un/una + [comida] + [adj nacionalidad], La arepa es una comida colombiana.   , comer + [comida]               , Como arepa.                     , AREPA    , AREPA    , AREPA     , AREPA    , AREPA    , AREPA    , ΑΡΕΠΑ      , AREPA    , AREPA
la      , PASTA      , PAS-ta        , COMIDAS PREPARADAS, #5A3825    , #EAA095    , Como pasta los miércoles.                  , la/una pasta | las/unas pastas | Femenino · uso habitual en singular | ¿Cómo se pide? Una pasta · un plato de pasta.                       , comer + [comida]                            , Como pasta.                      , ser + un/una + [comida] + [adj nacionalidad], La pasta es una comida italiana.     , me gusta + el/la + [comida]    , Me gusta la pasta.              , PASTA    , PÂTES    , MASSA     , PASTA    , MAKARON  , PASTA    , ΖΥΜΑΡΙΚΑ   , MAKARNA  , TĚSTOVINY
el      , ARROZ      , a-RROZ        , COMIDAS PREPARADAS, #5A3825    , #95CDEA    , Como arroz con pollo.                      , el/un arroz | los/unos arroces | Masculino · uso habitual en singular | ¿Cómo se pide? Un arroz · un plato de arroz.                       , comer + [comida]                            , Como arroz.                      , hay + [comida] + en + [lugar]               , Hay arroz en el menú.                , hacer + [comida]               , Mi padre hace arroz.            , RICE     , RIZ      , ARROZ     , REIS     , RYŻ      , RIJST    , ΡΥΖΙ       , PİRİNÇ   , RÝŽE
la      , PIZZA      , PI-zza        , COMIDAS PREPARADAS, #5A3825    , #EAA095    , Quiero una pizza grande.                   , la/una pizza | las/unas pizzas | Femenino | ¿Cómo se pide? Una pizza · dos pizzas.                                                         , querer + un/una + [comida]                  , Quiero una pizza.                , ser + un/una + [comida] + [adj nacionalidad], La pizza es una comida italiana.     , comer + [comida] + en + [lugar], Comemos pizza en el restaurante., PIZZA    , PIZZA    , PIZZA     , PIZZA    , PIZZA    , PIZZA    , ΠΙΤΣΑ      , PİZZA    , PIZZA
la      , HAMBURGUESA, ham-bur-GUE-sa, COMIDAS PREPARADAS, #5A3825    , #EAA095    , Tomo una hamburguesa con patatas.          , la/una hamburguesa | las/unas hamburguesas | Femenino | ¿Cómo se pide? Una hamburguesa · dos hamburguesas.                                 , tomar + un/una + [comida]                   , Tomo una hamburguesa.            , comer + [comida] + en + [lugar]             , Comemos hamburguesas en la cafetería., me gusta + el/la + [comida]    , Me gusta la hamburguesa.        , HAMBURGER, HAMBURGER, HAMBÚRGUER, HAMBURGER, HAMBURGER, HAMBURGER, ΧΑΜΠΟΥΡΓΚΕΡ, HAMBURGER, HAMBURGER
